"country_code","date","cases"
"AFG","1.22.20",0
"ALB","1.22.20",0
"DZA","1.22.20",0
"AND","1.22.20",0
"AGO","1.22.20",0
"ATG","1.22.20",0
"ARG","1.22.20",0
"ARM","1.22.20",0
"AUS","1.22.20",0
"AUT","1.22.20",0
"AZE","1.22.20",0
"BHS","1.22.20",0
"BHR","1.22.20",0
"BGD","1.22.20",0
"BRB","1.22.20",0
"BLR","1.22.20",0
"BEL","1.22.20",0
"BLZ","1.22.20",0
"BEN","1.22.20",0
"BTN","1.22.20",0
"BOL","1.22.20",0
"BIH","1.22.20",0
"BWA","1.22.20",0
"BRA","1.22.20",0
"BRN","1.22.20",0
"BGR","1.22.20",0
"BFA","1.22.20",0
"MMR","1.22.20",0
"BDI","1.22.20",0
"CPV","1.22.20",0
"KHM","1.22.20",0
"CMR","1.22.20",0
"CAN","1.22.20",0
"CAF","1.22.20",0
"TCD","1.22.20",0
"CHL","1.22.20",0
"CHN","1.22.20",548
"COL","1.22.20",0
"COM","1.22.20",0
"COG","1.22.20",0
"COD","1.22.20",0
"CRI","1.22.20",0
"CIV","1.22.20",0
"HRV","1.22.20",0
"CUB","1.22.20",0
"CYP","1.22.20",0
"CZE","1.22.20",0
"DNK","1.22.20",0
"DJI","1.22.20",0
"DMA","1.22.20",0
"DOM","1.22.20",0
"ECU","1.22.20",0
"EGY","1.22.20",0
"SLV","1.22.20",0
"GNQ","1.22.20",0
"ERI","1.22.20",0
"EST","1.22.20",0
"SWZ","1.22.20",0
"ETH","1.22.20",0
"FJI","1.22.20",0
"FIN","1.22.20",0
"FRA","1.22.20",0
"GAB","1.22.20",0
"GMB","1.22.20",0
"GEO","1.22.20",0
"DEU","1.22.20",0
"GHA","1.22.20",0
"GRC","1.22.20",0
"GRD","1.22.20",0
"GTM","1.22.20",0
"GIN","1.22.20",0
"GNB","1.22.20",0
"GUY","1.22.20",0
"HTI","1.22.20",0
"VAT","1.22.20",0
"HND","1.22.20",0
"HUN","1.22.20",0
"ISL","1.22.20",0
"IND","1.22.20",0
"IDN","1.22.20",0
"IRN","1.22.20",0
"IRQ","1.22.20",0
"IRL","1.22.20",0
"ISR","1.22.20",0
"ITA","1.22.20",0
"JAM","1.22.20",0
"JPN","1.22.20",2
"JOR","1.22.20",0
"KAZ","1.22.20",0
"KEN","1.22.20",0
"KOR","1.22.20",1
"KWT","1.22.20",0
"KGZ","1.22.20",0
"LAO","1.22.20",0
"LVA","1.22.20",0
"LBN","1.22.20",0
"LSO","1.22.20",0
"LBR","1.22.20",0
"LBY","1.22.20",0
"LIE","1.22.20",0
"LTU","1.22.20",0
"LUX","1.22.20",0
"MDG","1.22.20",0
"MWI","1.22.20",0
"MYS","1.22.20",0
"MDV","1.22.20",0
"MLI","1.22.20",0
"MLT","1.22.20",0
"MHL","1.22.20",0
"MRT","1.22.20",0
"MUS","1.22.20",0
"MEX","1.22.20",0
"FSM","1.22.20",0
"MDA","1.22.20",0
"MCO","1.22.20",0
"MNG","1.22.20",0
"MNE","1.22.20",0
"MAR","1.22.20",0
"MOZ","1.22.20",0
"NAM","1.22.20",0
"NPL","1.22.20",0
"NLD","1.22.20",0
"NZL","1.22.20",0
"NIC","1.22.20",0
"NER","1.22.20",0
"NGA","1.22.20",0
"MKD","1.22.20",0
"NOR","1.22.20",0
"OMN","1.22.20",0
"PAK","1.22.20",0
"PAN","1.22.20",0
"PNG","1.22.20",0
"PRY","1.22.20",0
"PER","1.22.20",0
"PHL","1.22.20",0
"POL","1.22.20",0
"PRT","1.22.20",0
"QAT","1.22.20",0
"ROU","1.22.20",0
"RUS","1.22.20",0
"RWA","1.22.20",0
"KNA","1.22.20",0
"LCA","1.22.20",0
"VCT","1.22.20",0
"WSM","1.22.20",0
"SMR","1.22.20",0
"STP","1.22.20",0
"SAU","1.22.20",0
"SEN","1.22.20",0
"SRB","1.22.20",0
"SYC","1.22.20",0
"SLE","1.22.20",0
"SGP","1.22.20",0
"SVK","1.22.20",0
"SVN","1.22.20",0
"SLB","1.22.20",0
"SOM","1.22.20",0
"ZAF","1.22.20",0
"SSD","1.22.20",0
"ESP","1.22.20",0
"LKA","1.22.20",0
"SDN","1.22.20",0
"SUR","1.22.20",0
"SWE","1.22.20",0
"CHE","1.22.20",0
"SYR","1.22.20",0
"TWN","1.22.20",1
"TJK","1.22.20",0
"TZA","1.22.20",0
"THA","1.22.20",4
"TLS","1.22.20",0
"TGO","1.22.20",0
"TTO","1.22.20",0
"TUN","1.22.20",0
"TUR","1.22.20",0
"UGA","1.22.20",0
"UKR","1.22.20",0
"ARE","1.22.20",0
"GBR","1.22.20",0
"URY","1.22.20",0
"USA","1.22.20",1
"UZB","1.22.20",0
"VUT","1.22.20",0
"VEN","1.22.20",0
"VNM","1.22.20",0
"YEM","1.22.20",0
"ZMB","1.22.20",0
"ZWE","1.22.20",0
"AFG","1.23.20",0
"ALB","1.23.20",0
"DZA","1.23.20",0
"AND","1.23.20",0
"AGO","1.23.20",0
"ATG","1.23.20",0
"ARG","1.23.20",0
"ARM","1.23.20",0
"AUS","1.23.20",0
"AUT","1.23.20",0
"AZE","1.23.20",0
"BHS","1.23.20",0
"BHR","1.23.20",0
"BGD","1.23.20",0
"BRB","1.23.20",0
"BLR","1.23.20",0
"BEL","1.23.20",0
"BLZ","1.23.20",0
"BEN","1.23.20",0
"BTN","1.23.20",0
"BOL","1.23.20",0
"BIH","1.23.20",0
"BWA","1.23.20",0
"BRA","1.23.20",0
"BRN","1.23.20",0
"BGR","1.23.20",0
"BFA","1.23.20",0
"MMR","1.23.20",0
"BDI","1.23.20",0
"CPV","1.23.20",0
"KHM","1.23.20",0
"CMR","1.23.20",0
"CAN","1.23.20",0
"CAF","1.23.20",0
"TCD","1.23.20",0
"CHL","1.23.20",0
"CHN","1.23.20",643
"COL","1.23.20",0
"COM","1.23.20",0
"COG","1.23.20",0
"COD","1.23.20",0
"CRI","1.23.20",0
"CIV","1.23.20",0
"HRV","1.23.20",0
"CUB","1.23.20",0
"CYP","1.23.20",0
"CZE","1.23.20",0
"DNK","1.23.20",0
"DJI","1.23.20",0
"DMA","1.23.20",0
"DOM","1.23.20",0
"ECU","1.23.20",0
"EGY","1.23.20",0
"SLV","1.23.20",0
"GNQ","1.23.20",0
"ERI","1.23.20",0
"EST","1.23.20",0
"SWZ","1.23.20",0
"ETH","1.23.20",0
"FJI","1.23.20",0
"FIN","1.23.20",0
"FRA","1.23.20",0
"GAB","1.23.20",0
"GMB","1.23.20",0
"GEO","1.23.20",0
"DEU","1.23.20",0
"GHA","1.23.20",0
"GRC","1.23.20",0
"GRD","1.23.20",0
"GTM","1.23.20",0
"GIN","1.23.20",0
"GNB","1.23.20",0
"GUY","1.23.20",0
"HTI","1.23.20",0
"VAT","1.23.20",0
"HND","1.23.20",0
"HUN","1.23.20",0
"ISL","1.23.20",0
"IND","1.23.20",0
"IDN","1.23.20",0
"IRN","1.23.20",0
"IRQ","1.23.20",0
"IRL","1.23.20",0
"ISR","1.23.20",0
"ITA","1.23.20",0
"JAM","1.23.20",0
"JPN","1.23.20",2
"JOR","1.23.20",0
"KAZ","1.23.20",0
"KEN","1.23.20",0
"KOR","1.23.20",1
"KWT","1.23.20",0
"KGZ","1.23.20",0
"LAO","1.23.20",0
"LVA","1.23.20",0
"LBN","1.23.20",0
"LSO","1.23.20",0
"LBR","1.23.20",0
"LBY","1.23.20",0
"LIE","1.23.20",0
"LTU","1.23.20",0
"LUX","1.23.20",0
"MDG","1.23.20",0
"MWI","1.23.20",0
"MYS","1.23.20",0
"MDV","1.23.20",0
"MLI","1.23.20",0
"MLT","1.23.20",0
"MHL","1.23.20",0
"MRT","1.23.20",0
"MUS","1.23.20",0
"MEX","1.23.20",0
"FSM","1.23.20",0
"MDA","1.23.20",0
"MCO","1.23.20",0
"MNG","1.23.20",0
"MNE","1.23.20",0
"MAR","1.23.20",0
"MOZ","1.23.20",0
"NAM","1.23.20",0
"NPL","1.23.20",0
"NLD","1.23.20",0
"NZL","1.23.20",0
"NIC","1.23.20",0
"NER","1.23.20",0
"NGA","1.23.20",0
"MKD","1.23.20",0
"NOR","1.23.20",0
"OMN","1.23.20",0
"PAK","1.23.20",0
"PAN","1.23.20",0
"PNG","1.23.20",0
"PRY","1.23.20",0
"PER","1.23.20",0
"PHL","1.23.20",0
"POL","1.23.20",0
"PRT","1.23.20",0
"QAT","1.23.20",0
"ROU","1.23.20",0
"RUS","1.23.20",0
"RWA","1.23.20",0
"KNA","1.23.20",0
"LCA","1.23.20",0
"VCT","1.23.20",0
"WSM","1.23.20",0
"SMR","1.23.20",0
"STP","1.23.20",0
"SAU","1.23.20",0
"SEN","1.23.20",0
"SRB","1.23.20",0
"SYC","1.23.20",0
"SLE","1.23.20",0
"SGP","1.23.20",1
"SVK","1.23.20",0
"SVN","1.23.20",0
"SLB","1.23.20",0
"SOM","1.23.20",0
"ZAF","1.23.20",0
"SSD","1.23.20",0
"ESP","1.23.20",0
"LKA","1.23.20",0
"SDN","1.23.20",0
"SUR","1.23.20",0
"SWE","1.23.20",0
"CHE","1.23.20",0
"SYR","1.23.20",0
"TWN","1.23.20",1
"TJK","1.23.20",0
"TZA","1.23.20",0
"THA","1.23.20",4
"TLS","1.23.20",0
"TGO","1.23.20",0
"TTO","1.23.20",0
"TUN","1.23.20",0
"TUR","1.23.20",0
"UGA","1.23.20",0
"UKR","1.23.20",0
"ARE","1.23.20",0
"GBR","1.23.20",0
"URY","1.23.20",0
"USA","1.23.20",1
"UZB","1.23.20",0
"VUT","1.23.20",0
"VEN","1.23.20",0
"VNM","1.23.20",2
"YEM","1.23.20",0
"ZMB","1.23.20",0
"ZWE","1.23.20",0
"AFG","1.24.20",0
"ALB","1.24.20",0
"DZA","1.24.20",0
"AND","1.24.20",0
"AGO","1.24.20",0
"ATG","1.24.20",0
"ARG","1.24.20",0
"ARM","1.24.20",0
"AUS","1.24.20",0
"AUT","1.24.20",0
"AZE","1.24.20",0
"BHS","1.24.20",0
"BHR","1.24.20",0
"BGD","1.24.20",0
"BRB","1.24.20",0
"BLR","1.24.20",0
"BEL","1.24.20",0
"BLZ","1.24.20",0
"BEN","1.24.20",0
"BTN","1.24.20",0
"BOL","1.24.20",0
"BIH","1.24.20",0
"BWA","1.24.20",0
"BRA","1.24.20",0
"BRN","1.24.20",0
"BGR","1.24.20",0
"BFA","1.24.20",0
"MMR","1.24.20",0
"BDI","1.24.20",0
"CPV","1.24.20",0
"KHM","1.24.20",0
"CMR","1.24.20",0
"CAN","1.24.20",0
"CAF","1.24.20",0
"TCD","1.24.20",0
"CHL","1.24.20",0
"CHN","1.24.20",920
"COL","1.24.20",0
"COM","1.24.20",0
"COG","1.24.20",0
"COD","1.24.20",0
"CRI","1.24.20",0
"CIV","1.24.20",0
"HRV","1.24.20",0
"CUB","1.24.20",0
"CYP","1.24.20",0
"CZE","1.24.20",0
"DNK","1.24.20",0
"DJI","1.24.20",0
"DMA","1.24.20",0
"DOM","1.24.20",0
"ECU","1.24.20",0
"EGY","1.24.20",0
"SLV","1.24.20",0
"GNQ","1.24.20",0
"ERI","1.24.20",0
"EST","1.24.20",0
"SWZ","1.24.20",0
"ETH","1.24.20",0
"FJI","1.24.20",0
"FIN","1.24.20",0
"FRA","1.24.20",2
"GAB","1.24.20",0
"GMB","1.24.20",0
"GEO","1.24.20",0
"DEU","1.24.20",0
"GHA","1.24.20",0
"GRC","1.24.20",0
"GRD","1.24.20",0
"GTM","1.24.20",0
"GIN","1.24.20",0
"GNB","1.24.20",0
"GUY","1.24.20",0
"HTI","1.24.20",0
"VAT","1.24.20",0
"HND","1.24.20",0
"HUN","1.24.20",0
"ISL","1.24.20",0
"IND","1.24.20",0
"IDN","1.24.20",0
"IRN","1.24.20",0
"IRQ","1.24.20",0
"IRL","1.24.20",0
"ISR","1.24.20",0
"ITA","1.24.20",0
"JAM","1.24.20",0
"JPN","1.24.20",2
"JOR","1.24.20",0
"KAZ","1.24.20",0
"KEN","1.24.20",0
"KOR","1.24.20",2
"KWT","1.24.20",0
"KGZ","1.24.20",0
"LAO","1.24.20",0
"LVA","1.24.20",0
"LBN","1.24.20",0
"LSO","1.24.20",0
"LBR","1.24.20",0
"LBY","1.24.20",0
"LIE","1.24.20",0
"LTU","1.24.20",0
"LUX","1.24.20",0
"MDG","1.24.20",0
"MWI","1.24.20",0
"MYS","1.24.20",0
"MDV","1.24.20",0
"MLI","1.24.20",0
"MLT","1.24.20",0
"MHL","1.24.20",0
